2021-12-27 21:41:06,748 - Start print log
2021-12-27 21:41:11,446 - policy
2021-12-27 21:41:11,452 - None
2021-12-27 21:41:11,452 - value
2021-12-27 21:41:11,454 - None
2021-12-27 21:41:11,454 - discriminator
2021-12-27 21:41:11,458 - None
2021-12-27 21:41:11,565 - batch_size 4096
2021-12-27 21:41:11,565 - stage: gail, agents num 2
2021-12-27 22:04:54,106 - St: gail, Ep: 592, Rew: 167.5695, ag_num: 2, time: 218.7143, final: 149.617, pol_l: -0.0115, kl: 0.0074, val_l: 3.0359, ag_rew: 0.4866, ex_rew: 1.5449, dis_l: 1.0045
2021-12-27 22:05:33,387 - St: gail, Ep: 593, Rew: 168.5037, ag_num: 2, time: 203.9697, final: 155.2381, pol_l: -0.014, kl: 0.0066, val_l: 5.3872, ag_rew: 0.4946, ex_rew: 1.5265, dis_l: 1.003
2021-12-27 22:06:02,223 - St: gail, Ep: 594, Rew: 136.8358, ag_num: 2, time: 200.7143, final: 161.495, pol_l: -0.0164, kl: 0.0076, val_l: 4.405, ag_rew: 0.485, ex_rew: 1.5154, dis_l: 0.9914
2021-12-27 22:06:31,125 - St: gail, Ep: 595, Rew: 151.3316, ag_num: 2, time: 195.9688, final: 165.2367, pol_l: -0.0034, kl: 0.0055, val_l: 4.4165, ag_rew: 0.485, ex_rew: 1.5547, dis_l: 0.9685
2021-12-27 22:07:04,371 - St: gail, Ep: 596, Rew: 138.3032, ag_num: 2, time: 174.4286, final: 135.365, pol_l: 0.0046, kl: 0.0061, val_l: 4.1229, ag_rew: 0.4949, ex_rew: 1.5452, dis_l: 0.991
2021-12-27 22:07:35,268 - St: gail, Ep: 597, Rew: 142.8687, ag_num: 2, time: 202.8235, final: 143.262, pol_l: 0.0045, kl: -0.0, val_l: 4.6243, ag_rew: 0.472, ex_rew: 1.5767, dis_l: 0.9617
2021-12-27 22:08:07,973 - St: gail, Ep: 598, Rew: 128.9563, ag_num: 2, time: 189.1892, final: 139.1119, pol_l: 0.0037, kl: 0.0, val_l: 4.5325, ag_rew: 0.4887, ex_rew: 1.5239, dis_l: 0.9862
2021-12-27 22:08:41,963 - St: gail, Ep: 599, Rew: 187.5776, ag_num: 2, time: 217.0, final: 163.5269, pol_l: 0.0022, kl: -0.0, val_l: 4.2303, ag_rew: 0.4786, ex_rew: 1.5595, dis_l: 0.9604
2021-12-27 22:09:15,073 - St: gail, Ep: 600, Rew: 130.5008, ag_num: 2, time: 185.6829, final: 157.827, pol_l: -0.0005, kl: 0.0047, val_l: 5.9567, ag_rew: 0.464, ex_rew: 1.6328, dis_l: 0.9212
2021-12-27 22:09:15,073 - stage gail, checkpoints establish, episode 600
